2023-10-30 12:01:10, Inba, Pelaaja1 vuoro, Pelaaja1 pisteet: 8, Pelaaja2 pisteet: 0
2023-10-30 12:01:13, Inba, Pelaaja1 vuoro, Pelaaja1 pisteet: 20, Pelaaja2 pisteet: 0
2023-10-30 12:01:23, Inba, Pelaaja2 vuoro, Pelaaja1 pisteet: 32, Pelaaja2 pisteet: 0
2023-10-30 12:01:30, Kone1, Pelaaja1 vuoro, Pelaaja1 pisteet: 3, Pelaaja2 pisteet: 0
2023-10-30 12:01:34, Kone1, Pelaaja1 vuoro, Pelaaja1 pisteet: 8, Pelaaja2 pisteet: 0
2023-10-30 12:01:37, Kone1, Pelaaja2 vuoro, Pelaaja1 pisteet: 8, Pelaaja2 pisteet: 4
2023-10-30 12:01:38, Kone1, Pelaaja2 vuoro, Pelaaja1 pisteet: 8, Pelaaja2 pisteet: 6
2023-10-30 12:01:43, Kone1, Pelaaja1 vuoro, Pelaaja1 pisteet: 8, Pelaaja2 pisteet: 10
2023-10-30 12:01:45, Kone1, Pelaaja1 vuoro, Pelaaja1 pisteet: 14, Pelaaja2 pisteet: 10
2023-10-30 12:01:51, Kone1, Pelaaja2 vuoro, Pelaaja1 pisteet: 14, Pelaaja2 pisteet: 13
2023-10-30 12:02:07, Inba, Pelaaja1 vuoro, Pelaaja1 pisteet: 6, Pelaaja2 pisteet: 0
2023-10-30 12:02:13, Inba, Pelaaja1 vuoro, Pelaaja1 pisteet: 18, Pelaaja2 pisteet: 0
2023-10-30 12:02:17, Inba, Pelaaja2 vuoro, Pelaaja1 pisteet: 28, Pelaaja2 pisteet: 0
2023-10-30 12:02:20, Inba, Pelaaja2 vuoro, Pelaaja1 pisteet: 28, Pelaaja2 pisteet: 8
2023-10-30 12:02:27, Inba, Pelaaja2 vuoro, Pelaaja1 pisteet: 28, Pelaaja2 pisteet: 12
2023-10-30 12:02:31, Inba, Pelaaja1 vuoro, Pelaaja1 pisteet: 28, Pelaaja2 pisteet: 24
2023-10-30 12:24:33, Inba, Pelaaja1 vuoro, Pelaaja1 pisteet: 6, Pelaaja2 pisteet: 0
2023-10-30 12:48:21, Inba, Pelaaja1 vuoro, Pelaaja1 pisteet: 4, Pelaaja2 pisteet: 0
2023-10-30 12:48:23, Inba, Pelaaja1 vuoro, Pelaaja1 pisteet: 16, Pelaaja2 pisteet: 0
2023-10-30 12:48:32, Inba, Pelaaja2 vuoro, Pelaaja1 pisteet: 16, Pelaaja2 pisteet: 4
2023-10-30 12:48:37, Inba, Pelaaja2 vuoro, Pelaaja1 pisteet: 16, Pelaaja2 pisteet: 14
2023-10-30 12:48:40, Inba, Pelaaja2 vuoro, Pelaaja1 pisteet: 16, Pelaaja2 pisteet: 14
2023-10-30 12:50:52, Inba, Pelaaja1 vuoro, Pelaaja1 pisteet: 10, Pelaaja2 pisteet: 0
